# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.0 Build 991 11/28/2023 SC Lite Edition
# File: C:\Users\reece\OneDrive\Desktop\quartus_projects\mr_top\fightpga.csv
# Generated on: Tue Aug 27 22:44:24 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk_out,Output,PIN_A11,8A,B8A_N0,PIN_A11,3.3-V LVTTL,,,,,,,,,,,,,
display_en,Output,PIN_F10,8A,B8A_N0,PIN_F10,3.3-V LVTTL,,,,,,,,,,,,,
hsync,Output,PIN_B11,8A,B8A_N0,PIN_B11,3.3-V LVTTL,,,,,,,,,,,,,
p1_inputs[4],Input,PIN_AA21,4A,B4A_N0,PIN_AA21,3.3-V LVTTL,,,,,,,,,,,,,
p1_inputs[3],Input,PIN_AE23,4A,B4A_N0,PIN_AE23,3.3-V LVTTL,,,,,,,,,,,,,
p1_inputs[2],Input,PIN_AC23,4A,B4A_N0,PIN_AC23,3.3-V LVTTL,,,,,,,,,,,,,
p1_inputs[1],Input,PIN_AF25,4A,B4A_N0,PIN_AF25,3.3-V LVTTL,,,,,,,,,,,,,
p1_inputs[0],Input,PIN_AG25,4A,B4A_N0,PIN_AG25,3.3-V LVTTL,,,,,,,,,,,,,
p2_inputs[4],Input,PIN_AJ22,4A,B4A_N0,PIN_AJ22,3.3-V LVTTL,,,,,,,,,,,,,
p2_inputs[3],Input,PIN_AF23,4A,B4A_N0,PIN_AF23,3.3-V LVTTL,,,,,,,,,,,,,
p2_inputs[2],Input,PIN_AG22,4A,B4A_N0,PIN_AG22,3.3-V LVTTL,,,,,,,,,,,,,
p2_inputs[1],Input,PIN_AD21,4A,B4A_N0,PIN_AD21,3.3-V LVTTL,,,,,,,,,,,,,
p2_inputs[0],Input,PIN_AC22,4A,B4A_N0,PIN_AC22,3.3-V LVTTL,,,,,,,,,,,,,
palette_select[1],Input,PIN_AC12,3A,B3A_N0,PIN_AC12,3.3-V LVTTL,,,,,,,,,,,,,
palette_select[0],Input,PIN_AB12,3A,B3A_N0,PIN_AB12,3.3-V LVTTL,,,,,,,,,,,,,
pll_locked,Output,PIN_V16,4A,B4A_N0,PIN_V16,3.3-V LVTTL,,,,,,,,,,,,,
